Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
143160.0,-1.112,0.005,0.134,2.875,0.199,-0.37,-0.955,0.106,-0.194,-17.341,10.456,-9.527,-1.097,0.11,0.263,2.481,-2.299,8.887,-1.047,-0.274,0.219,4.49,-2.056,10.578
143180.0,-1.126,-0.02,0.148,5.679,-6.525,-1.938,-0.96,0.033,-0.276,-11.44,9.572,-9.341,-1.068,0.112,0.27,8.485,-4.131,8.763,-1.028,-0.251,0.217,-9.896,-7.735,10.722
143200.0,-1.13,-0.015,0.119,4.628,-13.298,-2.419,-0.962,0.109,-0.298,3.677,1.476,-4.463,-1.062,0.141,0.281,7.411,-4.27,8.125,-0.995,-0.282,0.219,-19.686,-9.132,10.5
143220.0,-1.124,0.002,0.064,1.355,-13.318,-3.767,-1.052,-0.018,-0.297,19.105,-8.845,0.979,-1.078,0.163,0.302,0.941,-4.125,7.524,-1.013,-0.316,0.22,-20.41,-8.155,10.583
143240.0,-1.154,0.058,0.043,-2.449,-12.42,-4.217,-0.963,-0.077,-0.272,13.87,3.302,-1.714,-1.12,0.171,0.31,-5.829,-5.649,6.538,-1.058,-0.322,0.225,-17.755,-6.987,11.85
143260.0,-1.195,0.074,0.061,-3.005,-13.581,-4.681,-0.935,0.136,-0.286,3.816,6.531,-1.39,-1.13,0.166,0.3,-11.668,-8.868,5.986,-1.094,-0.367,0.21,-10.529,-4.982,12.887
143280.0,-1.249,0.07,0.074,1.167,-17.3,-4.455,-1.051,0.105,-0.325,4.992,-4.681,0.214,-1.139,0.16,0.281,-13.867,-10.418,5.831,-1.121,-0.354,0.218,-3.57,-3.92,13.37
143300.0,-1.273,0.045,0.075,2.873,-19.629,-3.003,-0.987,0.182,-0.235,28.106,-12.564,4.892,-1.192,0.163,0.275,-13.021,-10.72,4.797,-1.171,-0.314,0.242,-0.42,-2.73,12.11
143320.0,-1.281,0.041,0.059,2.265,-22.174,-3.414,-1.016,0.163,-0.248,14.744,-2.134,5.569,-1.254,0.167,0.271,-10.876,-13.724,3.04,-1.217,-0.31,0.264,-3.907,-3.498,10.375
143340.0,-1.268,0.033,0.003,1.748,-18.914,-6.234,-0.998,0.01,-0.28,15.805,2.824,10.582,-1.268,0.178,0.26,-8.211,-18.043,1.982,-1.246,-0.332,0.262,-2.603,-3.315,8.118
143360.0,-1.226,0.077,0.019,-0.743,-18.024,-5.926,-0.954,0.022,-0.404,10.484,-4.433,13.572,-1.266,0.173,0.241,-3.851,-20.529,1.752,-1.278,-0.346,0.275,6.35,-2.88,4.617
143380.0,-1.23,0.129,0.05,-1.405,-18.52,-4.317,-1.0,0.055,-0.26,3.863,-8.389,14.429,-1.229,0.169,0.205,1.37,-24.66,3.857,-1.273,-0.245,0.277,5.255,-6.711,-2.897
143400.0,-1.255,0.093,0.04,-0.068,-18.64,-2.082,-0.931,0.019,-0.357,9.7,-16.335,19.412,-1.16,0.196,0.193,1.883,-19.865,6.766,-1.181,-0.141,0.266,-11.557,-12.151,-12.839
