Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
3600.0,-0.88,-0.174,-0.197,-46.915,34.71,22.668,-1.015,0.097,0.033,-0.521,-17.286,9.989,-1.013,-0.052,0.088,-6.155,-17.542,-1.123,-0.772,-0.027,0.163,-1.881,19.921,-17.08
3620.0,-0.874,-0.161,-0.203,-49.39,41.606,27.396,-1.009,0.088,0.042,-1.322,-18.537,10.669,-1.027,-0.036,0.1,-11.276,-21.188,0.209,-0.742,-0.071,0.119,-7.605,19.364,-17.004
3640.0,-0.877,-0.126,-0.232,-49.7,45.998,33.66,-1.001,0.082,0.051,-0.625,-18.022,10.929,-0.999,-0.034,0.134,-15.473,-23.014,1.156,-0.707,-0.125,0.088,0.155,19.356,-15.789
3660.0,-0.872,-0.096,-0.27,-49.908,49.951,41.024,-1.003,0.103,0.049,1.385,-17.524,10.785,-0.964,-0.076,0.15,-14.867,-19.512,1.232,-0.682,-0.147,0.075,14.602,22.075,-13.7
3680.0,-0.853,-0.08,-0.314,-51.254,56.935,46.474,-1.005,0.134,0.044,1.575,-18.226,9.445,-0.966,-0.085,0.152,-6.543,-15.442,1.169,-0.689,-0.061,0.112,22.931,27.016,-13.527
3700.0,-0.826,-0.072,-0.357,-52.086,65.143,50.341,-0.988,0.146,0.063,0.733,-17.768,7.7,-0.993,-0.034,0.096,-5.349,-15.607,-3.381,-0.63,-0.039,0.1,13.987,32.676,-14.232
3720.0,-0.799,-0.064,-0.365,-53.295,73.38,54.483,-0.985,0.163,0.074,0.08,-15.054,6.496,-0.974,0.031,0.087,-15.189,-18.999,-16.966,-0.639,-0.049,0.072,9.309,42.286,-15.88
3740.0,-0.774,-0.046,-0.365,-56.854,82.535,57.828,-1.013,0.169,0.074,-3.068,-13.427,5.156,-1.08,-0.016,0.164,-24.575,-21.252,3.882,-0.707,-0.065,-0.004,14.04,45.38,-16.707
3760.0,-0.752,-0.042,-0.37,-58.435,87.401,59.526,-1.037,0.149,0.066,-3.983,-14.884,4.099,-0.958,-0.151,0.25,-10.82,-24.48,0.238,-0.759,-0.088,-0.018,7.696,34.386,-15.312
3780.0,-0.74,-0.042,-0.411,-55.57,87.411,59.738,-0.982,0.098,0.106,-0.649,-17.159,2.711,-0.967,-0.132,0.132,7.267,-19.763,4.452,-0.732,-0.116,-0.015,-0.828,23.197,-13.538
3800.0,-0.718,-0.012,-0.51,-53.563,91.235,60.688,-0.966,0.097,0.123,7.273,-11.088,0.897,-1.036,-0.008,0.076,5.787,-17.218,5.87,-0.682,-0.07,0.005,-9.178,32.943,-15.449
3820.0,-0.723,0.065,-0.522,-54.811,107.926,64.626,-1.019,0.181,0.092,11.97,-6.479,0.781,-1.115,0.043,0.168,-5.093,-33.249,9.777,-0.854,-0.073,-0.063,-19.96,46.926,-19.829
