Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm
1380.0,-0.964,0.038,0.329,1.198,-7.353,-0.214,-0.994,0.161,-0.109,0.063,-1.524,0.7,-0.962,0.206,0.248,3.692,-4.059,2.265
1400.0,-0.967,0.036,0.32,1.65,-6.111,-0.348,-0.994,0.163,-0.112,-0.404,-1.313,0.695,-0.956,0.203,0.24,5.514,-4.821,1.486
1420.0,-0.974,0.036,0.326,2.044,-5.172,-0.292,-0.994,0.162,-0.108,-0.84,-1.149,0.581,-0.953,0.202,0.23,8.965,-5.052,-0.022
1440.0,-0.97,0.033,0.327,2.299,-4.914,-0.435,-0.996,0.157,-0.114,-0.826,-0.988,0.85,-0.965,0.221,0.221,10.483,-6.663,-0.907
1460.0,-0.966,0.032,0.328,2.03,-4.62,-0.49,-0.996,0.158,-0.114,-0.356,-1.259,0.922,-0.961,0.236,0.215,11.93,-6.154,-0.799
1480.0,-0.964,0.035,0.338,1.466,-4.475,-0.599,-0.994,0.16,-0.115,-0.624,-1.191,1.164,-0.95,0.221,0.227,11.448,-7.12,-0.217
1500.0,-0.976,0.031,0.345,1.271,-5.734,-0.769,-0.995,0.158,-0.114,-0.572,-1.314,1.456,-0.953,0.207,0.231,15.149,-7.006,1.9
1520.0,-0.971,0.033,0.333,1.051,-5.39,-0.769,-0.995,0.158,-0.114,-0.083,-1.484,1.518,-0.957,0.227,0.233,18.606,-8.479,3.277
1540.0,-0.973,0.028,0.348,1.33,-5.53,-0.56,-0.997,0.16,-0.116,0.312,-1.717,1.738,-0.971,0.237,0.251,20.751,-10.349,4.252
1560.0,-0.97,0.028,0.342,1.87,-6.103,-0.56,-0.995,0.16,-0.114,0.13,-1.64,1.928,-0.965,0.219,0.29,29.433,-13.043,5.781
