Millis,AccelX_chest,AccelY_chest,AccelZ_chest,GyroX_chest,GyroY_chest,GyroZ_chest,AccelX_right_leg,AccelY_right_leg,AccelZ_right_leg,GyroX_right_leg,GyroY_right_leg,GyroZ_right_leg,AccelX_left_leg,AccelY_left_leg,AccelZ_left_leg,GyroX_left_leg,GyroY_left_leg,GyroZ_left_leg,AccelX_right_arm,AccelY_right_arm,AccelZ_right_arm,GyroX_right_arm,GyroY_right_arm,GyroZ_right_arm,AccelX_left_arm,AccelY_left_arm,AccelZ_left_arm,GyroX_left_arm,GyroY_left_arm,GyroZ_left_arm
41800.0,-0.324,-0.915,-0.762,-9.815,5.437,-0.619,-1.032,-0.042,-0.124,12.881,-9.219,0.866,-1.213,0.097,-0.117,-28.924,-48.566,-22.728,-0.653,-0.863,-0.179,-4.589,13.402,6.206,-1.276,-0.283,-0.356,40.925,-0.233,29.032
41820.0,-0.288,-0.914,-0.788,-4.515,-0.709,4.638,-1.025,-0.05,-0.109,11.161,-10.998,1.941,-0.957,0.103,-0.088,-17.256,-20.7,-9.565,-0.666,-0.803,-0.167,3.638,10.516,16.297,-1.223,-0.178,-0.345,40.899,8.177,31.569
41840.0,-0.281,-0.9,-0.809,-1.342,-2.926,11.751,-1.032,-0.035,-0.106,3.058,-11.511,1.286,-0.987,0.089,-0.041,-3.78,-13.93,-4.13,-0.677,-0.784,-0.138,3.369,5.384,22.288,-1.268,-0.151,-0.379,32.13,9.59,29.75
41860.0,-0.281,-0.911,-0.779,-1.154,-7.023,20.071,-1.026,-0.014,-0.099,2.835,-11.264,0.123,-1.049,-0.026,0.038,-3.562,-7.43,-4.868,-0.685,-0.776,-0.122,1.12,2.17,28.0,-1.265,-0.196,-0.383,20.72,7.98,29.89
41880.0,-0.283,-0.912,-0.734,-4.171,-15.38,25.857,-0.989,0.008,-0.091,1.361,-9.519,-0.279,-0.915,0.121,-0.045,15.727,-18.36,-0.429,-0.706,-0.786,-0.131,1.279,-0.882,32.057,-1.156,-0.132,-0.414,14.99,5.409,29.539
41900.0,-0.276,-0.89,-0.719,-3.901,-21.288,28.809,-0.991,0.011,-0.067,2.144,-6.034,-0.291,-0.948,0.095,-0.008,9.94,-9.73,-2.1,-0.72,-0.844,-0.154,6.556,-5.373,33.031,-1.133,-0.099,-0.392,6.82,4.596,27.72
41920.0,-0.281,-0.838,-0.722,-0.926,-25.454,32.078,-1.017,-0.031,-0.105,2.671,-6.414,-0.416,-0.982,0.187,-0.024,2.127,-7.853,-2.917,-0.705,-0.823,-0.137,15.372,-6.276,35.548,-1.144,-0.095,-0.422,-3.71,-1.47,26.46
41940.0,-0.294,-0.783,-0.727,-0.239,-28.57,37.053,-1.02,-0.063,-0.112,5.38,-8.131,-0.037,-0.982,0.103,-0.051,-2.762,-4.532,-3.842,-0.707,-0.725,-0.114,15.206,-6.719,38.143,-1.061,-0.119,-0.431,-10.92,-6.79,24.78
41960.0,-0.293,-0.761,-0.721,-2.067,-29.357,41.309,-1.013,-0.04,-0.096,6.012,-8.956,-0.07,-0.984,0.062,-0.032,5.301,-3.358,-1.775,-0.711,-0.707,-0.123,7.315,-9.89,37.668,-1.006,-0.175,-0.431,-17.243,-1.715,22.125
41980.0,-0.293,-0.746,-0.694,-4.926,-30.421,44.993,-1.016,-0.019,-0.095,3.971,-9.219,-0.413,-0.994,0.074,-0.033,8.215,-1.462,0.865,-0.703,-0.727,-0.125,2.267,-10.348,37.739,-1.049,-0.239,-0.382,-8.801,-0.02,22.652
42000.0,-0.297,-0.731,-0.637,-7.673,-33.47,47.82,-1.021,-0.038,-0.099,3.343,-9.834,-0.302,-0.992,0.102,-0.049,9.685,0.056,4.941,-0.728,-0.727,-0.113,4.324,-9.663,38.17,-1.029,-0.226,-0.34,8.976,-2.019,25.048
42020.0,-0.31,-0.732,-0.609,-9.944,-35.458,48.278,-1.025,-0.051,-0.121,2.012,-12.385,-0.573,-0.99,0.081,-0.052,4.996,1.822,2.217,-0.777,-0.698,-0.122,8.992,-10.865,36.631,-0.943,-0.136,-0.358,22.05,3.08,21.98
42040.0,-0.341,-0.751,-0.616,-9.896,-36.664,47.9,-1.051,-0.032,-0.11,0.312,-16.332,-1.205,-1.231,0.103,-0.122,7.951,-12.478,2.289,-0.765,-0.701,-0.129,12.41,-14.622,37.144,-0.986,-0.065,-0.404,18.731,10.117,16.648
42060.0,-0.36,-0.754,-0.632,-6.958,-37.532,47.824,-1.018,-0.045,-0.077,3.992,-16.517,0.786,-1.0,0.132,-0.076,2.884,-13.474,2.882,-0.737,-0.678,-0.125,17.051,-13.985,40.741,-1.027,-0.046,-0.455,9.349,9.507,10.986
42080.0,-0.377,-0.732,-0.634,-3.156,-39.078,48.666,-1.002,-0.029,-0.06,2.945,-14.669,0.894,-0.984,0.124,-0.034,3.906,-11.483,3.972,-0.771,-0.653,-0.146,19.806,-10.127,44.137,-1.069,-0.076,-0.446,-3.243,5.478,8.607
42100.0,-0.4,-0.706,-0.647,-0.398,-40.219,51.227,-0.994,-0.03,-0.061,3.22,-13.37,1.96,-1.001,0.096,-0.025,5.343,-10.924,4.53,-0.824,-0.635,-0.147,19.753,-10.628,45.949,-1.071,-0.133,-0.425,-1.789,-3.615,7.374
42120.0,-0.431,-0.677,-0.644,-1.227,-40.613,53.988,-1.009,-0.043,-0.032,6.003,-14.045,2.588,-0.99,0.093,-0.044,9.66,-11.69,5.74,-0.825,-0.607,-0.102,18.193,-11.649,46.34,-1.008,-0.142,-0.396,3.644,-4.581,6.953
42140.0,-0.464,-0.651,-0.627,-6.111,-41.367,54.566,-1.025,-0.043,-0.08,2.545,-14.41,2.243,-0.993,0.127,-0.036,9.066,-11.69,6.877,-0.825,-0.569,-0.067,14.99,-11.485,46.808,-0.941,-0.101,-0.408,5.138,5.374,7.302
42160.0,-0.504,-0.644,-0.624,-8.137,-43.31,54.488,-0.983,-0.031,-0.031,7.801,-14.548,3.352,-1.011,0.187,-0.03,2.969,-11.162,7.129,-0.834,-0.534,-0.077,8.648,-11.013,47.525,-1.009,-0.064,-0.459,-1.617,2.57,4.242
42180.0,-0.542,-0.643,-0.601,-8.291,-47.42,55.539,-1.04,-0.059,-0.099,5.477,-16.645,0.997,-0.997,0.174,-0.03,-10.946,-10.053,6.406,-0.827,-0.542,-0.09,4.232,-13.335,48.764,-0.98,-0.083,-0.451,-9.648,-8.578,0.379
42200.0,-0.555,-0.626,-0.563,-9.31,-52.29,58.03,-1.024,-0.012,-0.031,9.5,-15.256,2.037,-1.005,0.112,-0.024,-12.42,-11.357,6.1,-0.771,-0.554,-0.079,6.03,-14.558,52.608,-0.864,-0.12,-0.406,-9.344,-9.194,-3.184
42220.0,-0.549,-0.592,-0.534,-8.733,-57.441,60.19,-1.001,-0.014,-0.028,5.876,-13.034,0.879,-1.002,0.115,-0.018,-5.826,-11.207,6.681,-0.772,-0.515,-0.059,13.008,-10.063,57.024,-0.852,-0.109,-0.427,-3.97,2.782,-4.953
42240.0,-0.558,-0.565,-0.569,-4.469,-57.934,62.079,-0.982,-0.054,-0.025,6.661,-12.891,0.372,-1.01,0.154,0.018,-0.498,-12.892,6.753,-0.849,-0.449,-0.062,14.945,-9.911,57.345,-0.951,-0.082,-0.389,-1.512,2.165,-8.628
42260.0,-0.57,-0.553,-0.582,-2.199,-56.656,64.111,-1.027,-0.044,-0.039,7.42,-14.07,-1.12,-0.979,0.166,0.012,-3.636,-15.28,5.832,-0.889,-0.438,-0.081,13.305,-12.584,55.984,-0.958,-0.097,-0.347,3.62,-3.773,-11.199
42280.0,-0.599,-0.554,-0.54,-3.64,-58.03,65.24,-1.015,-0.06,-0.023,10.316,-12.403,-2.238,-0.984,0.147,0.015,-7.931,-15.712,5.41,-0.876,-0.455,-0.083,13.331,-16.144,55.841,-0.896,-0.101,-0.324,7.902,-5.034,-12.086
42300.0,-0.622,-0.556,-0.484,-3.776,-61.297,64.325,-1.021,-0.062,-0.016,12.63,-11.881,-2.055,-0.993,0.125,0.024,-5.975,-13.928,6.011,-0.833,-0.465,-0.064,18.381,-16.442,58.501,-0.855,-0.071,-0.325,9.488,-3.602,-11.853
42320.0,-0.643,-0.536,-0.535,-1.718,-62.795,62.318,-1.015,-0.014,-0.006,16.085,-8.952,-1.755,-0.974,0.127,0.025,-1.542,-10.374,6.075,-0.825,-0.456,-0.052,24.741,-12.41,61.572,-0.863,-0.029,-0.34,8.371,-1.118,-11.077
42340.0,-0.653,-0.513,-0.559,0.064,-61.856,61.443,-0.968,0.008,0.013,7.044,-2.065,-3.063,-0.975,0.158,0.029,1.814,-7.571,5.428,-0.901,-0.415,-0.084,26.844,-10.503,62.061,-0.889,-0.045,-0.335,7.235,-1.19,-10.155
42360.0,-0.67,-0.506,-0.523,2.727,-59.406,60.944,-0.974,-0.027,-0.016,0.295,-1.345,-4.127,-0.977,0.173,0.028,0.105,-3.306,4.453,-0.943,-0.401,-0.085,27.467,-12.591,60.678,-0.87,-0.13,-0.31,15.951,-3.367,-5.336
42380.0,-0.699,-0.496,-0.442,5.542,-60.44,59.869,-1.035,-0.101,-0.085,5.207,-7.747,-3.581,-0.978,0.16,0.018,-0.065,0.953,4.218,-0.938,-0.392,-0.051,27.383,-16.237,57.835,-0.861,-0.134,-0.267,32.12,-0.657,3.685
